,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,0.412644556,0.356255145,0.346365142,0.402894827,0.335836661,0.402353696,0.401417764,0.334296507,0.150994996,0.370519735,0.355115648,0.338803859,0.338429487,0.338478207,0.338065019,0.336878238,0.320122373,0.33636594,0.320565245,0.369979176,0.402022234,0.405885513,0.374089904,0.412168848,0.412142425,0.42200908,0.415470677,0.42270776
2,0.323041423,0.326433352,0.346853814,0.33582603,0.335357044,0.337305287,0.336545942,0.40019977,0.382918983,0.323782427,0.317563016,0.338089479,0.497714485,0.50704024,0.32184894,0.336902853,0.330806179,0.323025167,0.355615182,0.326280794,0.402806812,0.34929025,0.374526224,0.41220173,0.411981492,0.41219609,0.373362699,0.412230564
3,0.318086733,0.338046615,0.346828844,0.401427653,0.3730881,0.33554729,0.400974398,0.330659693,0.236270994,0.222344139,0.519870616,0.355021251,0.369262663,0.370830105,0.337455883,0.320554984,0.336747514,0.323511969,0.355917486,0.371001592,0.338711054,0.34941263,0.422755553,0.422780246,0.422373717,0.422849842,0.373458347,0.422742713
4,0.367948434,0.322206579,0.364541578,0.361659026,0.538073961,0.540667637,0.33706269,0.397826889,0.383843078,0.053235521,0.519203457,0.205891922,0.202773726,0.189899559,0.19001477,0.189639717,0.188297242,0.183700252,0.167822141,0.160791049,0.156377939,0.155699161,0.174245102,0,0.374315613,0.385922077,0.409788597,0.386363558
5,0.318036668,0.355965928,0.233305649,0.398258898,0.496276315,0.48960412,0.527193844,0.541961847,0.197442856,0.193819161,0.178597547,0.16059691,0.142075167,0.123731184,0.109628578,0.096470278,0.084862408,0.07607352,0.072190199,0.072912213,0.078808937,0.092721607,0.113053899,0.14051083,0.160004477,0.412100952,0.413867401,0.422780045
6,0.32389413,0.323340498,0.349328432,0.539451335,0.401475864,0.41452722,0.420619166,0.420670761,0.40831739,0.415950123,0.438779269,0.472986883,0.508286356,0.554542653,0.599647667,0.649893194,0.694774624,0.726810064,0.745399874,0.753598786,0.750286868,0.73696714,0.09275656,0.112449291,0.152391183,0.411986576,0.410303815,0.422086077
7,0.367130525,0.355505101,0.513619884,0.539451335,0.395240785,0.419675941,0.421541315,0.422868523,0.430805871,0.470997298,0.512028043,0.558922738,0.613018541,0.668855282,0.726702394,0.784949051,0.823752805,0.845561388,0.856828015,0.857713356,0.843200683,0.798693247,0.751606211,0.096559808,0.138685138,0.233418666,0.415385629,0.387004448
8,0.318007789,0.354212382,0.538046394,0.540671445,0.388207329,0.421177171,0.406810443,0.438105798,0.488757641,0.544041794,0.60165408,0.663337766,0.73040644,0.798496155,0.853393577,0.890556167,0.917022281,0.932922117,0.939470672,0.93637964,0.922838067,0.895042612,0.821025299,0.751727077,0.128822022,0.215118289,0.373916316,0.422684072
9,0.365844759,0.361854124,0.504074934,0.315416632,0.382140693,0.396264917,0.436835592,0.499435864,0.564163531,0.633803714,0.70701402,0.784726541,0.850036461,0.898120324,0.935624467,0.959595875,0.971985867,0.978844823,0.981329825,0.977528369,0.965548568,0.949684765,0.914662163,0.809936634,0.121611995,0.213497677,0.420441112,0.386327261
10,0.318066306,0.365615481,0.34929079,0.299183834,0.381266477,0.428914693,0.496419532,0.575281945,0.661664153,0.745081066,0.819900327,0.879890965,0.927445472,0.952226569,0.954140245,0.936658735,0.907585333,0.886149052,0.875219682,0.887234436,0.966064048,0.967193409,0.954184067,0.893326042,0.119353429,0.213790586,0.411826245,0.411719518
11,0.317985043,0.321395886,0.349352429,0.277949605,0.379332095,0.478582478,0.573911542,0.678265598,0.767483426,0.84076621,0.898947381,0.941120118,0.953922742,0.94028277,0.898807076,0.837311993,0.794924781,0.774659412,0.764194994,0.780435209,0.890867495,0.967867305,0.961899222,0.935187421,0.121099512,0.212332529,0.420390228,0.386363867
12,0.317945733,0.36598698,0.349432748,0.25307938,0.381504625,0.558737366,0.681061765,0.775174074,0.852520319,0.9101666,0.948700592,0.953398453,0.926067951,0.862607273,0.790248862,0.726216211,0.692629584,0.680064257,0.680044069,0.739923924,0.868116336,0.96418106,0.958635869,0.930797736,0.127267915,0.209312732,0.416139597,0.38474191
13,0.325371131,0.318017585,0.165955284,0.238050392,0.501549827,0.668346646,0.764792603,0.850826803,0.914963509,0.954509611,0.956000489,0.921932885,0.854724216,0.76450827,0.681370706,0.641401658,0.628931732,0.624655102,0.664132667,0.73637939,0.868622639,0.960993916,0.951863909,0.878346686,0.137685698,0.212828293,0.373825628,0.422683887
14,0.325218186,0.317904167,0.245014082,0.232686671,0.503075626,0.737185354,0.837568374,0.910501385,0.956828225,0.964591219,0.931101925,0.864740369,0.760515054,0.661041775,0.619407959,0.597418803,0.595788811,0.618751308,0.673294838,0.751735854,0.882805967,0.956994922,0.938014623,0.822991327,0.151614036,0.212456455,0.373564704,0.422684072
