,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
1,'AMTH','ARTS','ASTR ','BHSC','BIO','BME','CHEM','CLEC','CLNS','COLWRIT','CPRA','CS','ECON','EE','ENAS ','ENTR','FINA','FORE','GE','GEHA','GEMA','GENS','GEPE','GEPS','GESS','MATH','MGMT','MSE','PADUOVA','PHYS ','PHYS','PHYSICS','QMS','SEMI','SI','SL','SP'
2,#f05b72,#f58f98,#d93a49,#ed1941,#f26522,#ef4136,#b64533,#b4532a,#b7704f,#fab27b,#56452d,#df9464,#ad8b3d,#ffce7b,#fdb933,#c7a252,#ffd400,#decb00,#b2d235,#7fb80e,#007d65,#45b97c,#005831,#65c294,#00a6ac,#009ad6,#7bbfea,#2585a6,#444693,#224b8f,#6a6da9,#6950a1,#8552a1,#472d56,#d1c7b7,#7c8577,#563624
