,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
29,2.2879 ,2.4188 ,1.3367 ,0.7699 ,1.5736 ,1.3388 ,1.0680 ,1.6900 ,1.7937 ,1.3391 ,2.7855 ,10.0000 ,1.2914 ,2.5806 ,3.8603 ,6.2934 
30,4.5080 ,2.9188 ,4.0578 ,0.2717 ,0.2613 ,1.3278 ,4.0544 ,1.0818 ,2.9600 ,0.9431 ,1.6727 ,5.4348 ,3.0077 ,3.5599 ,2.2059 ,1.8147 
31,5.3572 ,1.8969 ,2.8163 ,0.6612 ,1.6211 ,2.5730 ,2.6735 ,3.1539 ,6.3243 ,1.9222 ,3.3891 ,8.2609 ,4.1446 ,4.3318 ,5.0735 ,2.9344 
32,5.4996 ,3.1188 ,3.6020 ,2.7627 ,2.9810 ,5.4601 ,4.1701 ,3.2347 ,5.1999 ,2.2822 ,10.0000 ,8.0435 ,4.2826 ,5.3456 ,10.0000 ,2.3938 
33,5.7490 ,4.1281 ,6.8776 ,7.3551 ,2.0903 ,5.0964 ,3.7891 ,3.0086 ,4.7095 ,1.4435 ,6.5818 ,5.5435 ,4.0342 ,5.5991 ,3.1618 ,10.0000 
34,4.6676 ,7.9125 ,4.6599 ,5.3533 ,3.5629 ,5.6584 ,2.4150 ,3.6114 ,6.0813 ,10.0000 ,9.9927 ,4.3478 ,4.0563 ,3.7442 ,3.0515 ,6.3707 
35,7.1891 ,1.5719 ,3.5918 ,6.5399 ,3.3373 ,3.3829 ,2.0816 ,5.5974 ,10.0000 ,7.9662 ,2.5309 ,4.4565 ,2.6600 ,6.3018 ,3.8971 ,6.5251 
36,4.3194 ,4.9250 ,10.0000 ,3.4058 ,3.3254 ,5.1901 ,8.2041 ,10.0000 ,6.8323 ,6.5047 ,9.9564 ,5.6522 ,10.0000 ,10.0000 ,1.1397 ,2.0463 
37,5.4056 ,6.7000 ,5.7177 ,3.3786 ,3.0701 ,10.0000 ,9.1701 ,7.4381 ,6.4568 ,3.4845 ,1.2582 ,3.4783 ,3.7031 ,3.6406 ,2.3529 ,2.0463 
38,7.3418 ,5.4125 ,3.6088 ,10.0000 ,5.5819 ,5.9890 ,6.1088 ,6.1518 ,9.2865 ,0.9611 ,6.9964 ,3.9130 ,3.8742 ,5.8641 ,1.1029 ,2.5869 
39,10.0000 ,4.2188 ,4.9116 ,8.4692 ,1.1639 ,2.3857 ,10.0000 ,6.3563 ,6.2934 ,2.2786 ,5.1273 ,3.6957 ,3.5375 ,3.1336 ,2.9412 ,2.0463 
40,7.7446 ,6.1656 ,3.7755 ,8.8043 ,1.4549 ,1.2948 ,6.0068 ,4.3757 ,5.1999 ,1.4219 ,5.0764 ,2.8261 ,4.1446 ,3.3871 ,1.1029 ,2.0849 
41,6.7268 ,4.2250 ,5.0306 ,4.9004 ,2.3990 ,2.1212 ,8.8980 ,6.7707 ,3.9717 ,4.5572 ,5.2436 ,3.3696 ,4.2053 ,5.9332 ,3.7500 ,3.1660 
42,6.8332 ,4.7531 ,5.0476 ,6.1504 ,6.5974 ,7.0854 ,6.7347 ,4.5910 ,5.2839 ,4.5896 ,4.7273 ,1.7391 ,2.2351 ,3.4217 ,1.7279 ,1.0039 
43,5.1741 ,5.6875 ,4.7347 ,6.3768 ,4.8931 ,5.2176 ,7.0408 ,4.6878 ,5.1690 ,5.1512 ,4.8145 ,2.3913 ,4.9338 ,4.1359 ,0.5515 ,1.1583 
44,5.6765 ,10.0000 ,1.7619 ,4.9728 ,5.8314 ,1.9945 ,6.6190 ,2.5404 ,2.6309 ,3.3009 ,4.1818 ,0.7609 ,3.8245 ,2.3848 ,0.4779 ,0.6950 
45,3.6657 ,9.2188 ,5.1361 ,5.4257 ,10.0000 ,2.7548 ,4.9184 ,3.9128 ,3.2737 ,3.4233 ,5.1564 ,0.8696 ,1.7770 ,4.3433 ,2.0588 ,2.8958 
46,0.0147 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
47,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
48,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0476 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
49,0.0294 ,0.0000 ,0.0000 ,0.1316 ,0.1754 ,0.1064 ,0.1852 ,0.1695 ,0.1429 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
50,0.0147 ,0.0000 ,0.0346 ,0.0000 ,0.0877 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
51,0.0147 ,0.1105 ,0.1384 ,0.0000 ,0.0877 ,0.0000 ,0.0000 ,0.0000 ,0.2857 ,0.2222 ,0.0000 ,3.6364 ,0.2500 ,0.0000 ,0.1563 ,0.0000 
52,0.0294 ,0.0000 ,0.0000 ,0.1316 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
53,0.1909 ,0.2210 ,0.2076 ,0.0000 ,0.1754 ,0.3191 ,0.1235 ,0.3390 ,0.3810 ,0.0000 ,0.1370 ,0.9091 ,0.5000 ,0.7692 ,0.0000 ,0.0000 
54,0.1468 ,0.2210 ,0.0346 ,0.0000 ,0.0877 ,0.0000 ,0.1235 ,0.1695 ,0.2857 ,0.1111 ,0.2740 ,0.9091 ,0.2500 ,0.0000 ,0.3125 ,0.0000 
55,0.1468 ,0.1657 ,0.3460 ,0.1316 ,0.0877 ,0.4255 ,0.0617 ,0.1695 ,0.4286 ,0.4444 ,0.9589 ,0.9091 ,1.0000 ,0.7692 ,0.0000 ,0.0000 
56,0.3084 ,0.3315 ,0.2076 ,0.2632 ,0.2632 ,0.1064 ,0.1852 ,0.3390 ,0.4762 ,0.5556 ,3.5616 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
57,0.4405 ,1.0497 ,0.9343 ,0.1316 ,0.3509 ,0.4255 ,0.1235 ,0.0000 ,0.8095 ,1.3333 ,4.3836 ,0.9091 ,0.2500 ,0.2564 ,0.1563 ,1.3636 
58,0.4552 ,0.4972 ,0.7612 ,0.6579 ,0.3509 ,0.9574 ,0.4321 ,0.8475 ,1.0476 ,1.0000 ,4.5205 ,8.1818 ,1.2500 ,3.8462 ,0.9375 ,0.0000 
59,1.2335 ,0.6077 ,1.4187 ,1.5789 ,0.8772 ,0.8511 ,0.0000 ,0.3390 ,2.2857 ,0.3333 ,4.3836 ,0.0000 ,1.0000 ,1.2821 ,0.3125 ,0.0000 
60,0.4405 ,0.2210 ,0.2422 ,0.2632 ,0.0877 ,0.1064 ,0.0617 ,0.3390 ,1.3810 ,0.2222 ,0.2740 ,0.0000 ,0.5000 ,0.0000 ,0.1563 ,0.0000 
61,0.6021 ,0.2762 ,0.6574 ,0.3947 ,0.5263 ,0.7447 ,0.0000 ,0.1695 ,0.4286 ,0.6667 ,0.2740 ,0.9091 ,2.0000 ,0.2564 ,0.4688 ,2.2727 
62,0.5433 ,0.1105 ,0.3114 ,0.3947 ,0.2632 ,0.4255 ,0.1235 ,0.1695 ,0.9524 ,0.5556 ,0.5479 ,0.0000 ,0.0000 ,0.2564 ,0.1563 ,0.0000 
63,0.4846 ,0.1657 ,0.2422 ,0.2632 ,0.1754 ,0.4255 ,0.1852 ,0.6780 ,0.9048 ,1.8889 ,0.4110 ,0.0000 ,0.5000 ,0.0000 ,0.0000 ,0.9091 
64,0.1468 ,0.8840 ,0.8304 ,1.4474 ,0.9649 ,0.4255 ,0.9259 ,0.6780 ,1.0952 ,0.4444 ,0.4110 ,1.8182 ,2.2500 ,0.0000 ,0.9375 ,0.0000 
65,6.7254 ,0.6077 ,0.0000 ,0.2632 ,0.0000 ,0.2128 ,0.2469 ,0.0000 ,0.4286 ,0.1111 ,0.0000 ,0.0000 ,0.2500 ,0.0000 ,0.0000 ,0.0000 
66,0.8223 ,0.8840 ,1.3495 ,1.1842 ,0.7018 ,1.7021 ,0.8025 ,1.5254 ,3.4762 ,2.6667 ,1.0959 ,0.0000 ,2.2500 ,0.5128 ,0.4688 ,0.4545 
67,6.2261 ,0.3867 ,2.0415 ,0.5263 ,0.7895 ,2.2340 ,0.3086 ,1.5254 ,2.1429 ,2.2222 ,2.0548 ,2.7273 ,4.0000 ,2.0513 ,0.7813 ,0.0000 
68,5.8737 ,0.8840 ,1.0381 ,2.1053 ,0.6140 ,2.8723 ,0.3086 ,1.0169 ,1.3333 ,2.1111 ,5.0685 ,1.8182 ,2.7500 ,1.5385 ,2.3438 ,0.0000 
69,5.1982 ,2.9282 ,4.2561 ,0.2632 ,1.5789 ,1.3830 ,1.4815 ,1.8644 ,3.0952 ,10.0000 ,2.7397 ,2.7273 ,4.2500 ,0.5128 ,2.9688 ,0.9091 
