,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
24,3 ,29 ,326,832,5656,25611,3.15,0.06,0.01,0.15,0.01,0.04,0.03,0.02,0.02,0.09,0.05,0.08,0.12,0.05,0.05,0.13,0.1,0.11,0.06,0.09,0.01,0.03,0.03,0.03,0.04,0.07,0.22,0.06,0.06,0.09,0.01,0.06,0.02
25,3 ,30 ,355,1187,5298,30893,3.7,0.05,0.04,0.04,0.04,0.02,0.03,0.01,0.02,0.06,0.07,0.03,0.13,0.05,0.03,0.09,0.3,0.12,0.07,0.06,0.03,0.03,0.05,0.05,0.02,0.07,0.03,0.1,0.04,0.12,0.05,0.15,0.01
26,3 ,31 ,358,1545,4144,35017,4.23,0.07,0.01,0.03,0.08,0.04,0,0.03,0.04,0.03,0,0.01,0.2,0.04,0.04,0.31,0.05,0.08,0.02,0.02,0.16,0.02,0.01,0.03,0.04,0.09,0.02,0.04,0.06,0.15,0.09,0.03,0.13
27,4 ,1 ,260,1805,6051,41066,4.21,0.06,0.03,0.05,0.01,0.03,0.04,0.01,0.02,0.07,0,0.04,0.18,0.09,0.03,0.21,0.12,0.04,0.02,0.14,0.01,0.06,0.08,0.02,0.07,0.16,0.05,0.08,0.04,0.16,0.05,0.01,0.01
28,4 ,2 ,438,2243,7788,48781,4.4,0.03,0.04,0.06,0.02,0.04,0.04,0.03,0.03,0.04,0.04,0.1,0.16,0.08,0.06,0.14,0.11,0.03,0.1,0.1,0.02,0.06,0.1,0.1,0.07,0.06,0.1,0.1,0,0.04,0.1,0.01,0
29,4 ,3 ,425,2668,8581,57291,4.45,0.05,0.06,0.03,0.02,0.04,0.03,0.03,0.04,0.04,0.03,0.07,0.24,0.03,0.06,0.09,0.15,0.06,0.03,0.04,0.03,0.08,0.11,0.02,0.13,0.06,0.12,0.05,0.13,0.07,0.02,0.03,0.01
30,4 ,4 ,268,2936,13086,70373,4,0.11,0.07,0.1,0.01,0.01,0.03,0.1,0.03,0.07,0.02,0.04,0.14,0.08,0.09,0.06,0.05,0.29,0.07,0.04,0.01,0.02,0.05,0.03,0.12,0.07,0.01,0.03,0.07,0.13,0.05,0.02,0
31,4 ,5 ,311,3247,16766,87099,3.59,0.09,0.03,0.05,0.01,0.03,0.05,0.05,0.06,0.11,0.03,0.06,0.14,0.07,0.08,0.09,0.05,0.13,0.06,0.07,0.03,0.06,0.04,0.02,0.14,0.07,0.05,0.03,0.02,0.22,0.05,0.02,0.01
32,4 ,6 ,322,3569,19660,106744,3.24,0.07,0.04,0.05,0.04,0.04,0.07,0.05,0.04,0.07,0.03,0.13,0.1,0.05,0.07,0.13,0.03,0.14,0.05,0.03,0.11,0.07,0.09,0.07,0.09,0.05,0.06,0.08,0.09,0.02,0.03,0.02,0.01
33,4 ,7 ,824,4393,20398,126819,3.35,0.07,0.05,0.09,0.09,0.03,0.06,0.05,0.04,0.06,0.02,0.08,0.07,0.05,0.07,0.04,0.13,0.24,0.07,0.02,0.07,0.03,0.07,0.03,0.09,0.1,0.02,0.03,0.15,0.05,0.02,0.01,0.01
34,4 ,8 ,1015,5408,22609,149008,3.5,0.05,0.09,0.05,0.06,0.04,0.07,0.03,0.04,0.07,0.12,0.12,0.05,0.05,0.04,0.04,0.07,0.12,0.04,0.13,0.03,0.07,0.1,0.01,0.07,0.05,0.04,0.07,0.11,0.08,0.04,0.01,0.03
35,4 ,9 ,1006,6414,23937,172754,3.58,0.09,0.02,0.05,0.08,0.04,0.04,0.03,0.07,0.13,0.1,0.03,0.06,0.03,0.08,0.05,0.08,0.2,0.04,0.05,0.08,0.07,0.08,0.04,0.09,0.07,0.08,0.04,0.07,0.05,0.02,0,0.01
36,4 ,10 ,914,7328,25173,197880,3.57,0.04,0.05,0.1,0.03,0.03,0.05,0.08,0.1,0.07,0.06,0.1,0.06,0.1,0.1,0.01,0.02,0.11,0.16,0.14,0.02,0.06,0.1,0.03,0.05,0.06,0.05,0.03,0.07,0.05,0.04,0.02,0.01
37,4 ,11 ,994,8322,22348,219955,3.65,0.07,0.09,0.07,0.04,0.04,0.13,0.12,0.1,0.08,0.05,0.02,0.04,0.05,0.05,0.03,0.03,0.15,0.08,0.05,0.03,0.05,0.11,0.03,0.08,0.07,0.03,0.09,0.07,0.09,0.07,0,0.01
38,4 ,12 ,1189,9511,25141,245073,3.74,0.09,0.06,0.04,0.12,0.07,0.07,0.07,0.07,0.11,0.01,0.08,0.05,0.05,0.07,0.01,0.03,0.1,0.06,0.03,0.06,0.16,0.14,0.03,0.04,0.03,0.05,0.03,0.04,0.04,0.06,0.01,0.14
39,4 ,13 ,2573,12084,25146,270105,4.28,0.13,0.06,0.06,0.11,0.02,0.03,0.13,0.08,0.08,0.03,0.07,0.05,0.05,0.04,0.04,0.03,0.21,0.07,0.04,0.08,0.06,0.11,0.03,0.02,0.06,0.05,0.03,0,0.07,0.04,0.01,0.12
40,4 ,14 ,3200,15284,19872,289670,5.01,0.12,0.1,0.06,0.14,0.02,0.02,0.09,0.07,0.08,0.02,0.08,0.04,0.06,0.05,0.02,0.03,0.15,0.05,0.1,0.09,0.05,0.08,0.08,0.01,0.03,0.06,0.03,0.05,0.07,0.07,0.02,0.06
41,4 ,15 ,3590,18874,19923,308671,5.76,0.09,0.06,0.07,0.07,0.03,0.03,0.12,0.09,0.05,0.06,0.07,0.04,0.06,0.08,0.05,0.04,0.17,0.03,0.03,0.22,0.05,0.09,0.01,0.02,0.04,0.01,0.04,0,0.06,0.11,0.01,0.08
42,4 ,16 ,3238,22112,21582,329076,6.3,0.09,0.07,0.07,0.08,0.09,0.1,0.09,0.06,0.07,0.06,0.07,0.02,0.03,0.05,0.02,0.01,0.16,0.05,0.04,0.08,0.05,0.12,0.06,0.03,0.02,0.04,0.05,0,0.03,0.04,0,0.23
43,4 ,17 ,2417,24529,19831,348054,6.58,0.07,0.08,0.07,0.09,0.07,0.07,0.1,0.07,0.07,0.07,0.07,0.03,0.07,0.06,0.01,0.02,0.08,0.09,0.04,0.11,0.03,0.08,0.03,0.04,0.03,0.03,0.04,0.02,0.05,0.06,0.02,0.24
44,4 ,18 ,3084,27613,17332,364412,7.04,0.1,0.17,0.03,0.09,0.1,0.03,0.11,0.04,0.05,0.06,0.07,0.01,0.07,0.04,0.01,0.01,0.1,0.2,0.04,0.09,0.07,0.03,0.07,0.02,0.02,0.04,0.04,0,0.01,0.21,0,0.08
45,4 ,19 ,2494,30107,16407,380286,7.34,0.05,0.13,0.07,0.08,0.15,0.04,0.07,0.06,0.05,0.05,0.07,0.01,0.03,0.06,0.03,0.04,0.11,0.11,0.17,0.04,0.17,0.07,0.05,0.03,0.02,0.02,0.07,0,0.03,0.1,0.02,0
46,4 ,20 ,2634,32741,15861,395988,7.64,0.04,0.13,0.07,0.09,0.09,0.04,0.08,0.15,0.05,0.04,0.06,0.03,0.05,0.04,0.02,0.03,0.1,0.13,0.12,0.14,0.04,0.09,0.09,0.05,0.1,0.08,0.02,0,0.02,0.02,0,0
47,4 ,21 ,1931,34672,15698,411543,7.77,0.05,0.08,0.06,0.06,0.17,0.04,0.08,0.04,0.08,0.05,0.08,0.04,0.04,0.06,0.02,0.06,0.04,0.09,0.22,0.04,0.08,0.05,0.03,0.04,0.2,0.06,0.05,0,0.01,0.08,0,0
